1481406354
task	R	T	Offset	priority	allocation
0	0.0217	1	0	0	0
1	15.6	100	1.07	23	0
2	1.4	10	0	14	0
3	1.38	20	0.558	12	1
4	0.353	4	0	7	0
5	0.413	10	0	9	1
6	0.198	2	0	3	0
7	78.4	500	2.6	30	0
8	27.8	100	0.652	25	0
9	177	1000	3.21	35	0
10	1.34	20	0	11	2
11	4.8	10	3.57	13	0
12	134	500	0.133	32	0
13	3.75	40	0.267	17	2
14	146	500	7.97	33	0
15	0.0967	2	0	3	1
16	47.4	100	19.5	26	0
17	7.78	50	0	24	1
18	17.3	400	0	28	1
19	2.24	20	0	13	1
20	9.13	100	0	26	1
21	9.79	100	1.4	19	2
22	28.5	400	0	30	1
23	0.267	4	0	6	1
24	20.4	100	9.13	20	2
25	0.133	5	0	6	2
26	1.67	10	0	15	0
27	2.3	20	0	13	2
28	21.4	200	4.7	23	2
29	133	500	0.0266	31	0
30	0.0266	1	0	0	1
31	28	200	0	27	0
32	0.0148	1	0	0	2
33	11.1	200	0.0217	27	1
34	2.6	20	0	14	1
35	228	1000	78.4	34	1
36	2.85	20	0	15	1
37	0.419	4	0	8	0
38	4.12	10	2.3	16	0
39	0.283	4	0	7	1
40	0.0756	2	0	3	2
41	2.48	20	0	14	2
42	0.0676	1	0	1	0
43	7.97	100	0	25	1
44	0.0441	1	0	1	1
45	0.206	2	0	4	0
46	0.182	5	0	7	2
47	0.793	5	0	11	0
48	87.1	500	0	31	1
49	47.5	200	0	28	0
50	19.7	100	0.283	24	0
51	0.558	5	0	10	0
52	19.1	20	17.3	12	2
53	50.6	400	2.85	29	0
54	2.86	10	0	17	0
55	32.1	50	28	18	2
56	0.51	20	0	11	1
57	0.33	4	0	6	0
58	4.7	40	0	20	1
59	3.21	20	0	16	1
60	31	500	0	26	2
61	0.164	2	0	4	1
62	2.99	20	0.206	15	2
63	0.99	10	0.558	10	1
64	0.652	20	0	10	2
65	6.3	40	0.0148	22	1
66	4.53	20	0	17	1
67	6.37	40	0	21	0
68	5.92	40	0	21	1
69	26.8	400	0	29	1
70	11.3	20	6.49	20	0
71	0.946	5	0	12	0
72	7.94	50	0	22	0
73	0.388	4	0	8	1
74	0.0616	1	0	1	2
75	26.3	200	7.78	24	2
76	92.8	1000	0	33	1
77	0.0878	2	0	4	2
78	38.1	500	0	28	2
79	6.5	40	0.206	23	1
80	15.9	20	11.3	18	1
81	11.8	100	0	21	2
82	34.2	500	0	27	2
83	5.58	20	0.946	19	1
84	147	500	0	34	0
85	20.8	200	0.946	25	2
86	0.115	2	0	5	2
87	0.234	2	0	5	0
88	0.0693	1	0	2	0
89	3.33	20	0	18	0
90	3.37	20	0	19	0
91	3.3	20	0	16	2
92	0.261	5	0	8	2
93	0.529	4	0	9	0
94	0.558	10	0	9	2
95	62.3	100	47.5	22	2
96	0.0836	1	0	2	1
97	0.0739	1	0	2	2
98	91.8	500	0	32	1
99	0.181	2	0	5	1
----------------------------------------
1481406355
task	R	T	Offset	priority	allocation
0	12.9	100	0	24	2
1	0.0434	2	0	1	2
2	2.92	20	0	14	2
3	0.905	10	0	9	2
4	93.9	500	2.28	30	2
5	1.16	10	0	10	2
6	17.2	400	0	27	2
7	19.6	20	17.2	16	1
8	0.0617	2	0	2	2
9	36.5	200	19.6	26	2
10	0.447	5	0	11	1
11	14.5	100	0	25	2
12	0.00907	1	0	0	0
13	235	1000	0	34	2
14	9.02	100	0	21	2
15	0.548	5	0	7	2
16	144	1000	0.0475	32	2
17	219	1000	0.329	33	2
18	87.9	500	0.208	29	2
19	0.248	4	0	7	1
20	58.6	1000	0.01	29	1
21	0.0677	1	0	0	1
22	99.3	500	11.9	28	2
23	0.0705	2	0	3	0
24	201	500	144	28	1
25	0.262	4	0	5	2
26	34.4	200	0	23	0
27	0.0475	1	0	2	0
28	2.59	20	0	17	1
29	234	1000	0	32	1
30	2.47	50	0	14	0
31	38.8	500	0	27	1
32	0.429	10	0	7	0
33	0.01	1	0	1	0
34	240	1000	0	33	1
35	3.56	40	0	18	1
36	7.96	50	0	20	1
37	23.7	400	0	25	1
38	78.4	500	38.8	26	0
39	1.2	10	0	11	2
40	14	100	9.02	16	0
41	0.185	2	0	5	1
42	13.3	100	0	22	1
43	18.5	200	0	24	1
44	1.82	10	0	14	1
45	34.4	500	0	24	0
46	9.98	10	9.02	13	1
47	7.98	100	0	18	0
48	12.9	100	0	19	0
49	0.222	4	0	5	0
50	9.18	10	7.98	12	2
51	0.138	2	0	3	2
52	7.99	50	0	20	2
53	13.1	100	0.447	23	2
54	44.5	50	38.8	18	2
55	3.77	50	0.905	15	0
56	4.98	40	0	17	2
57	3.2	40	0	15	2
58	0.125	1	0	2	1
59	35.9	500	0	25	0
60	21.6	50	12.9	21	1
61	0.208	2	0	6	1
62	0.019	1	0	0	2
63	12.7	100	0	22	2
64	3.81	40	0.0705	16	2
65	18.5	100	0	23	1
66	118	1000	0	31	1
67	134	1000	34.4	31	2
68	25.9	100	12.7	20	0
69	28.5	100	12.7	21	0
70	1.48	20	0	10	0
71	19.2	100	0	22	0
72	45.2	500	0	27	0
73	0.264	4	0	8	1
74	0.61	5	0	12	1
75	14.7	20	13.1	11	0
76	249	1000	0	34	1
77	2.28	20	0	13	0
78	5.8	10	4.98	8	0
79	46.3	1000	0	28	0
80	0.172	2	0	4	2
81	2.23	20	0	13	2
82	0.12	1	0	1	1
83	6.34	50	0	19	2
84	6.47	50	0	19	1
85	247	1000	0	35	2
86	2.65	4	2.28	6	2
87	0.14	1	0	3	1
88	0.157	1	0	4	1
89	0.073	2	0	4	0
90	0.67	5	0	8	2
91	5.04	10	3.81	9	0
92	6.26	100	0	17	0
93	1.74	20	0	12	0
94	86.6	1000	0	30	1
95	1.84	20	0	15	1
96	29.2	500	0	26	1
97	0.422	5	0	10	1
98	0.329	5	0	6	0
99	0.418	4	0	9	1
----------------------------------------
1481406356
task	R	T	Offset	priority	allocation
0	0.267	5	0	10	0
1	169	1000	15.4	33	0
2	0.00538	1	0	0	0
3	1.26	10	0	14	0
4	5.99	40	0	26	0
5	15.5	40	13.1	14	1
6	1.64	10	0	15	0
7	0.0477	1	0	1	0
8	0.14	1	0	3	0
9	1.88	5	1.64	4	1
10	0.0133	1	0	0	1
11	0.253	5	0	5	1
12	0.756	10	0	12	0
13	13	400	5.2	15	1
14	0.189	2	0	7	0
15	14.5	200	0	29	0
16	0.551	20	0	8	1
17	0.0573	1	0	2	0
18	8.47	40	5.99	13	2
19	26.5	40	13	28	0
20	4.59	20	0	21	0
21	13.2	20	8.47	22	0
22	69	1000	0.253	31	0
23	9.43	500	0	17	1
24	2.25	20	1.64	9	1
25	29.3	40	26.5	14	2
26	0.0151	1	0	0	2
27	1.96	10	0	16	0
28	5.85	20	0.032	24	0
29	2.27	10	0	17	0
30	0.17	1	0	4	0
31	0.0243	1	0	1	2
32	55.4	200	21	30	0
33	2.28	10	0	18	0
34	2.69	10	0	19	0
35	2.37	40	0	13	1
36	8.67	400	0	16	1
37	4.55	40	0.551	15	2
38	106	1000	0.0573	23	1
39	0.171	1	0	5	0
40	0.943	10	0	13	0
41	137	1000	38.6	32	0
42	56.4	1000	0	22	1
43	139	1000	2.37	37	2
44	0.474	5	0	7	2
45	5.92	20	0	25	0
46	24.9	100	8.67	25	2
47	12.3	50	0.032	22	2
48	23.2	100	4.77	26	2
49	39.5	400	0.189	33	2
50	99.2	500	5.92	35	2
51	0.032	1	0	1	1
52	5.65	20	0	23	0
53	0.532	10	0	9	2
54	0.115	2	0	3	2
55	358	1000	0	34	0
56	1.48	40	0	11	2
57	143	1000	0	38	2
58	6.4	20	5.2	10	1
59	0.0687	1	0	2	2
60	159	1000	0	39	2
61	20.8	100	0	27	2
62	42.1	500	2.69	19	1
63	0.488	20	0	7	1
64	34.3	200	0	31	2
65	12.9	100	0	24	2
66	0.181	4	0	5	2
67	0.239	2	0	8	0
68	11.4	40	1.48	27	0
69	0.287	5	0	6	1
70	6.93	40	1.2	16	2
71	7.44	40	0.943	17	2
72	23.4	100	0	28	2
73	34.5	400	0	32	2
74	0.0387	2	0	2	1
75	29.6	200	0	30	2
76	0.0602	4	0	3	1
77	36.2	500	0.267	18	1
78	2.37	40	0	12	1
79	288	1000	137	24	1
80	0.206	4	0	6	2
81	24.6	100	0	29	2
82	0.139	2	0	4	2
83	57.9	500	5.65	21	1
84	50.6	500	0	20	1
85	2.75	10	0	20	0
86	9.93	10	9.43	8	2
87	12.5	50	0	23	2
88	0.835	20	0	10	2
89	8.79	40	0	18	2
90	1.25	20	0	11	1
91	1.55	40	0	12	2
92	0.34	5	0	11	0
93	0.263	2	0	9	0
